correct,shoulder,hip,ankle
True,161.1280517578125,116.41533088684082,104.49726867675781
True,161.73499298095703,115.23138809204102,102.837890625
True,161.65188598632812,114.89009094238281,102.67487335205078
True,161.70110321044922,114.0598087310791,101.21250915527344
True,161.98001861572266,114.03064918518066,101.38308715820312
True,161.63674926757812,114.56466102600098,101.90003967285156
True,161.66961669921875,114.49150466918945,101.9198989868164
True,161.52235412597656,115.33310127258301,101.05377197265625
True,161.5259780883789,115.15754127502441,101.72180938720703
True,161.8600311279297,113.9633960723877,100.7252197265625
True,159.9727783203125,114.69771957397461,101.0427017211914
True,161.61678314208984,114.45949172973633,102.3084487915039
True,159.3264923095703,113.59201240539551,102.32537841796875
True,160.60317993164062,110.43545341491699,98.37032318115234
True,161.49356842041016,108.39647197723389,95.48087310791016
True,162.9784698486328,107.47253608703613,93.91987609863281
True,163.04351043701172,109.28053855895996,95.02071380615234
True,162.7579345703125,108.4487247467041,95.41849517822266
True,162.92569732666016,109.58387184143066,96.36759948730469
True,164.45496368408203,107.94548034667969,94.12353515625
True,165.38257598876953,108.46088981628418,94.18527221679688
True,165.4258041381836,105.98875045776367,93.19855499267578
True,165.5278091430664,106.61801433563232,92.67852020263672
True,165.58885955810547,105.80956649780273,91.67395782470703
True,165.35220336914062,105.43043518066406,91.27595520019531
True,164.9854278564453,104.02682781219482,90.07918548583984
True,164.5472412109375,104.34245586395264,89.98199462890625
True,164.3605194091797,105.23405838012695,90.60443878173828
True,161.70403289794922,105.25465679168701,91.23687744140625
True,162.7873764038086,106.66638851165771,92.28314208984375
True,163.85343170166016,108.03375244140625,92.888671875
True,163.115966796875,111.58272743225098,96.90631103515625
True,162.67459869384766,113.60260772705078,98.39772033691406
True,165.21634674072266,115.14483833312988,98.96326446533203
True,166.40995025634766,120.90242004394531,104.42327117919922
True,164.24716186523438,118.22566032409668,101.39714050292969
True,164.32402801513672,117.19284057617188,98.85629272460938
True,164.63824462890625,117.7137451171875,97.57624816894531
True,165.41957092285156,120.62183570861816,103.41123962402344
True,168.64755249023438,118.31196784973145,101.29132080078125
True,168.60514068603516,114.08019638061523,99.18034362792969
True,164.59119415283203,113.19838905334473,97.71823120117188
True,164.86074829101562,113.474609375,97.40856170654297
True,161.98171997070312,114.89327621459961,97.11693572998047
True,161.93893432617188,112.03376770019531,93.94218444824219
True,162.22727966308594,114.06209373474121,90.09036254882812
True,161.9381103515625,114.05545997619629,91.44273376464844
True,163.6160125732422,114.28192710876465,89.9722671508789
True,163.49468231201172,112.85027885437012,95.92265319824219
True,165.32245635986328,115.10111427307129,100.32380676269531
True,166.74745178222656,115.29391288757324,101.05982208251953
True,165.72454071044922,115.28034400939941,100.12889862060547
True,166.2331771850586,111.91402816772461,96.82197570800781
True,166.91437530517578,112.02250480651855,95.85861206054688
True,167.36825561523438,114.39891624450684,95.13971710205078
True,167.47154235839844,113.5743408203125,96.36234283447266
True,164.23639678955078,113.63444328308105,96.8945083618164
True,165.0690460205078,111.70272064208984,95.49776458740234
True,166.02948760986328,112.65008544921875,96.67489624023438
True,167.9719467163086,112.67975807189941,97.0140609741211
True,167.86756134033203,113.4088363647461,98.29764556884766
True,167.6084747314453,122.08264923095703,110.9311752319336
True,166.71922302246094,122.71809959411621,109.89171600341797
True,165.57437896728516,119.94965934753418,106.8024673461914
True,163.5882110595703,116.91544342041016,103.79644775390625
True,163.07470703125,114.36570358276367,102.17963409423828
True,163.82335662841797,109.29526710510254,96.48117065429688
True,164.94256591796875,105.90736198425293,93.64689636230469
True,164.5266876220703,107.2470760345459,93.43994140625
True,164.7759246826172,106.59273624420166,92.87476348876953
True,165.6282501220703,105.17575263977051,91.47747039794922
True,165.8921356201172,103.23200035095215,89.7015609741211
True,166.58859252929688,103.37085056304932,89.94364929199219
True,166.65404510498047,103.83851528167725,89.6161880493164
True,166.5772247314453,103.77009963989258,89.46502685546875
True,166.58850860595703,103.68990993499756,89.42797088623047
True,166.4127197265625,102.09201622009277,88.0028076171875
True,166.0480728149414,104.28782749176025,90.09724426269531
True,166.0378189086914,102.97880840301514,88.57389068603516
True,165.92080688476562,102.94397926330566,88.07919311523438
True,165.936279296875,103.07768249511719,88.7909164428711
True,165.92344665527344,103.3357400894165,89.28204345703125
True,165.74913024902344,103.16224765777588,89.20714569091797
True,165.9521713256836,103.16181659698486,89.1250228881836
True,164.79660034179688,104.75745868682861,90.75753021240234
True,164.5553436279297,103.1291389465332,89.73721313476562
True,164.6406707763672,103.4326639175415,89.64595794677734
True,164.93544006347656,103.49069786071777,89.30615234375
True,164.96488189697266,103.33993339538574,89.59843444824219
True,164.3332061767578,103.91544246673584,89.7290267944336
True,164.43775939941406,101.99462604522705,88.07632446289062
True,164.6316375732422,103.04806900024414,89.61958312988281
True,166.55374145507812,99.62929391860962,94.74372863769531
True,162.51569366455078,102.55767726898193,89.29194641113281
True,161.97333526611328,103.94497013092041,89.28913116455078
True,162.01869201660156,107.94515228271484,91.82723236083984
True,162.1168975830078,108.07853889465332,90.79671478271484
True,162.0231475830078,106.70835494995117,88.6006088256836
True,161.68821716308594,105.92260074615479,86.65303802490234
True,161.84507751464844,106.53008365631104,88.20661926269531
True,161.63977813720703,106.81421947479248,87.4450454711914
True,161.82213592529297,107.64324474334717,87.95765686035156
True,161.90603637695312,107.58815002441406,86.84335327148438
True,161.94845581054688,108.6355504989624,89.1923599243164
True,162.0901870727539,107.9897289276123,88.58901977539062
True,162.18724822998047,107.95138454437256,89.24897003173828
True,162.23140716552734,108.5802412033081,89.96106719970703
True,162.12979888916016,109.10678005218506,90.66229248046875
True,161.87583923339844,108.85751819610596,92.14652252197266
True,162.0382537841797,109.05213642120361,92.01798248291016
True,162.20867919921875,108.16108131408691,87.33613586425781
True,162.86471557617188,109.12423992156982,89.70111083984375
True,162.9637451171875,109.18075466156006,89.7406234741211
True,163.09760284423828,107.72367668151855,88.92993927001953
True,162.9627227783203,107.06673336029053,87.46251678466797
True,163.88577270507812,106.68353271484375,85.9799575805664
True,163.73157501220703,106.96460819244385,87.27056121826172
True,164.95197296142578,106.68026828765869,85.11033630371094
True,164.6725082397461,108.17225551605225,89.48564910888672
True,165.4869842529297,108.11447811126709,88.74642944335938
True,165.05587005615234,108.9684419631958,90.65869903564453
True,165.06968688964844,109.24361991882324,89.80199432373047
True,164.6888198852539,108.74714088439941,88.60491943359375
